Upravna enota,Vsota vseh vozil,Motorji,Osebna vozila,Avtobusi,"Lah. tov. < 3,5t","Sr. tov. 3,5-7t",Tež. tov. nad 7t,Tov. s prik.,Vlačilci
PESNICA,123354,547,91460,776,20636,1355,812,19640,11501
ŠENTJUR PRI CELJU,54877,444,49573,204,45790,589,599,2360,9570
MARIBOR,260112,1776,222108,1543,83627,2908,2076,17173,44002
PTUJ,276196,1774,212504,1396,109196,3289,2239,26960,50607
MURSKA SOBOTA,209733,911,185414,1021,89022,1540,1400,15940,31386
SLOVENSKA BISTRICA,180832,1155,121249,1072,58049,2716,1557,27930,15623
SLOVENSKE KONJICE,61705,823,78240,605,45769,1691,880,11710,14084
CELJE,259789,2621,349636,1995,97594,6106,4036,44880,32155
ŽALEC,366226,2110,271864,1955,102727,5171,3265,31334,34533
DOMŽALE,255865,1452,182494,1291,74036,3327,2143,23495,39546
SEVNICA,90427,547,91695,489,31402,1159,737,12130,8149
KOPER,171780,3545,190621,990,79853,1446,1284,13910,34769
LJUBLJANA,999007,5811,957258,6634,211472,13381,9673,85217,97506
VELENJE,138297,1100,130257,773,56979,1844,1441,13720,14974
ZAGORJE OB SAVI,28201,557,103113,868,35103,1157,805,2481,4429
MOZIRJE,82567,638,75835,698,36397,978,907,11280,10626
VRHNIKA,164940,1026,133826,1413,41227,1972,1463,7493,25066
LOGATEC,92189,1021,67902,704,25496,1205,806,6011,15225
CERKNICA,51574,597,44999,291,33010,450,403,3050,10390
POSTOJNA,168998,1217,124978,1246,56970,2129,1187,10199,35314
AJDOVŠČINA,172945,1402,185233,1003,52833,2242,1395,19449,23922
SEŽANA,266964,3364,244834,1710,80763,2337,2439,32320,37428
LAŠKO,120640,724,98381,566,37211,1271,897,10990,22053
JESENICE,177242,2604,152276,1586,84697,1068,760,10760,8226
KRANJ,345076,2793,280218,2779,70862,3015,2216,20800,20929
RADOVLJICA,149213,2140,181048,2193,62938,1730,1194,13820,6514
NOVA GORICA,328502,3080,277658,1279,103628,2864,2192,27920,39058
GROSUPLJE,104091,837,139944,1057,52077,1482,1229,15470,11281
TREBNJE,39488,371,47999,180,31570,519,442,2220,6020
NOVO MESTO,215561,2016,213638,1530,100897,2360,1697,17660,25451
KRŠKO,102195,652,86302,548,53900,1037,767,7830,14015
BREŽICE,124836,650,98667,930,32831,875,578,12000,9319
LENART,88912,515,72119,762,28975,1182,736,17600,10574
GORNJA RADGONA,72992,527,49741,582,29147,903,637,12500,11175
LJUTOMER,40102,274,42308,143,22460,358,328,1980,6910
LENDAVA,101728,647,60620,781,36730,1051,619,24660,20423
RADLJE OB DRAVI,77974,652,80836,383,25251,647,572,2600,10710
RUŠE,4362,130,10475,162,10550,139,157,760,2050
nan,9496,185,14673,51,5990,50,56,400,1690
ORMOŽ,27372,191,23220,79,15660,272,198,1990,7200
DRAVOGRAD,14561,135,12299,134,1233,143,122,750,3300
SLOVENJ GRADEC,47592,483,38427,318,23934,594,623,2990,11030
ŠKOFJA LOKA,121899,1198,128114,763,38247,1178,1033,4430,11880
RIBNICA,34308,228,28324,102,15080,241,188,1230,5430
ILIRSKA BISTRICA,54218,664,45579,266,34950,308,296,2530,16740
PIRAN,20738,691,33792,167,17330,148,163,330,2200
TRŽIČ,40997,529,24517,119,18168,203,249,620,1830
TOLMIN,93743,2503,83094,308,41056,569,546,1940,3750
IDRIJA,15034,539,22341,202,14610,249,256,1030,1880
KAMNIK,75693,927,64166,323,27342,852,607,2440,11310
METLIKA,21229,83,19377,43,6200,73,97,400,1580
KOČEVJE,73363,875,77994,291,17098,355,396,1880,4930
ŠMARJE PRI JELŠAH,92185,756,105479,358,52070,962,789,4340,16180
LITIJA,46032,502,63400,203,32860,432,549,1570,3810
TRBOVLJE,36004,475,41692,319,23240,354,384,700,2860
HRASTNIK,4738,77,11614,105,8240,144,181,400,1950
IZOLA,50455,690,44650,258,2479,217,154,230,760
RAVNE NA KOROŠKEM,35975,447,32043,331,31950,360,438,1270,5370
ČRNOMELJ,55036,350,50262,170,26150,311,373,1080,2350
